title,temporary_page,temporary_section,final_page,final_heading
QQ群发帖打卡机器人 - 佚名,docs/AI/资源补充.md,具身智能与机器人,docs/AI/AI应用/具身智能.md,具身智能
具身智能技术指南 Embodied-AI-Guide,docs/AI/资源补充.md,具身智能与机器人,docs/AI/AI应用/具身智能.md,具身智能
LeRobot - Build Your Own SO-101 Robot!,docs/AI/资源补充.md,具身智能与机器人,docs/AI/AI应用/具身智能.md,具身智能
大模型应用开发 -上下文工程与运行空间实践指南,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
DeepSeek-V4,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
Training LLMs on GPU Clusters,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
"预训练语言模型(PLM, Pretraining Language Model)",docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
大模型核心概念科普：Token、上下文长度、最大输出，一次讲透,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
大模型Blog,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
Hugging Face -AI Agents Course,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
Qwen模型微调之SFT,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
万字长文图解Qwen2.5-VL实现细节,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
腾讯发布Agent最新BenchMark&可控多智能体数据生成框架：Multi-Mission Tool Bench (一个多任务的工具调用BenchMark),docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
我们需要结构化的 Agentic Coding 吗？,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
AGENTS.md 真的能帮助编码智能体吗？,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
大模型的Loss Landscape是什么样的？,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
对RoPE理解挺好的,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
泼OpenAI冷水：LangChain官方阐述为何不走可视化Agent Builder路线,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
一个半月高强度 Claude Code 使用后感受,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
我是如何使用 Claude Code 和 Codex,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
在大模型应用中，如何提升RAG（检索增强生成）的能力？,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/RAG检索增强.md,RAG
"The last six months in LLMs, illustrated by pelicans on bicycles",docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
LLM的快思考与慢思考路线之MCTS - haotian的文章,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
用Agent评测思路管理AI Coding —— 31万行代码AI重构的实践,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
Claude API Docs: Prompt Engineering Guide,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
一个半月高强度 Claude Code 使用后感受,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
按照苏神类似的思路推理Transformer中的Softmax Attention为什么要除以√d_k？,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
AI大模型,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
最近读了一遍 nano-vllm 的源码，做了些笔记，欢迎群友补充~,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
大模型核心概念科普：Token、上下文长度、最大输出，一次讲透,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
2024年LLM实习岗面经（一名大四学生的碎碎念）,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
Codex 每次启动都卡在 Reconnecting？大概率不是账号问题，而是 WebSocket 没走通,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
DeepSeek+LoRA+FastAPI开发人员如何微调大模型并暴露接口给后端调用,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
【Github Copilot】远程连接无法使用Claude的解决方法 - Rrmeazh的文章,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
"Codex 配置大杂烩,涵盖MCP安装、调用规则、自动模式解决方案等【缝合系列】",docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
ZCF - Claude Code & Codex 一键配置工具（含CCR配置、BMad和spec工作流、CCometixLine集成）,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
AgentRSS: 智能RSS阅读与问答系统 - wnc 的咖啡馆,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
如何动手写一个简单的 agent,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
Pocket Flow 一个极简主义LLM框架,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
"AutoSci - Read, think, experiment, write, evolve — the AI research agent with memory that compounds across every project.",docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
GenericAgent,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
everything-claude-code,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
OpenAPI spec 输入 → N 种 Agent 可消费格式输出,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
SpatialLM-Llama-1B,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/LLM原理.md,LLM
open-source agent on SWE-Bench Verified by combining Claude 3.7 and O1,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
CAMEL x MCP: Making AI Agents Accessible to All Tools,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
operative.sh web-eval-agent MCP Server,docs/AI/资源补充.md,大语言模型与智能体,docs/AI/大语言模型/AI-Agent智能体.md,教程
蘑菇书EasyRL,docs/AI/资源补充.md,强化学习,docs/AI/AI理论基础.md,强化学习（RL）
paperlists,docs/AI/资源补充.md,强化学习,docs/AI/AI理论基础.md,强化学习（RL）
DDAO: An Open-source RL System from ByteDance Seed and Tsinghua AIR,docs/AI/资源补充.md,强化学习,docs/AI/AI理论基础.md,强化学习（RL）
Simple PyTorch Implementations of Deep RL Algorithms for Continuous Control Research,docs/AI/资源补充.md,强化学习,docs/AI/AI理论基础.md,强化学习（RL）
ReaderLM-v2,docs/AI/资源补充.md,强化学习,docs/AI/AI理论基础.md,强化学习（RL）
我模拟了一万个 Polymarket 赛季：只有 3 种策略存活了下来,docs/AI/资源补充.md,机器学习基础,docs/AI/AI理论基础.md,机器学习（ML）
王树森的推荐系统- Kinnari's Blog,docs/AI/资源补充.md,机器学习基础,docs/AI/AI理论基础.md,机器学习（ML）
Geoffrey Hinton带你拆解 AI“理解” 的本质 | IASEAI 2025,docs/AI/资源补充.md,机器学习基础,docs/AI/AI理论基础.md,机器学习（ML）
最近meta推出v-jepa 2分析了一下JEPA,docs/AI/资源补充.md,机器学习基础,docs/AI/AI理论基础.md,机器学习（ML）
AB实验中样本选择偏差DEMO分析,docs/AI/资源补充.md,机器学习基础,docs/AI/AI理论基础.md,机器学习（ML）
Birdclef中几个模型转换成 openvino格式,docs/AI/资源补充.md,深度学习,docs/AI/AI理论基础.md,深度学习（DL）
一本挺好的介绍神经网络和深度学习的书,docs/AI/资源补充.md,深度学习,docs/AI/AI理论基础.md,深度学习（DL）
深度学习为啥不用二阶牛顿寻优？,docs/AI/资源补充.md,深度学习,docs/AI/AI理论基础.md,深度学习（DL）
log_softmax与softmax的区别在哪里？ - 以往的月的回答 - 知乎,docs/AI/资源补充.md,深度学习,docs/AI/AI理论基础.md,深度学习（DL）
神经网络可解释性综述,docs/AI/资源补充.md,深度学习,docs/AI/AI理论基础.md,深度学习（DL）
深度学习模型编译框架TVM概述,docs/AI/资源补充.md,深度学习,docs/AI/AI理论基础.md,深度学习（DL）
RAE,docs/AI/资源补充.md,生成式与多模态,docs/AI/AI应用/AIGC内容生成.md,AIGC
开始学生成模型，AR，VAE，GAN 的笔记,docs/AI/资源补充.md,生成式与多模态,docs/AI/AI应用/AIGC内容生成.md,AIGC
周报。MIT 6.S184 P2: ODE/SDE生成模型的训练推导,docs/AI/资源补充.md,生成式与多模态,docs/AI/AI应用/AIGC内容生成.md,AIGC
变分推断(VI)、随机梯度变分推断(SGVI/SGVB)、变分自编码器(VAE)串讲 - 伊犁纯流莱 - 博客园,docs/AI/资源补充.md,生成式与多模态,docs/AI/AI应用/AIGC内容生成.md,AIGC
Diffusion入门资源整理(持续更新ing) - 嘉然今天赶DDL,docs/AI/资源补充.md,生成式与多模态,docs/AI/AI应用/AIGC内容生成.md,AIGC
扩散模型入门——个人学习路线+优质博客资料,docs/AI/资源补充.md,生成式与多模态,docs/AI/AI应用/AIGC内容生成.md,AIGC
ASVR: Autoregressive Semantic Visual Reconstruction Helps VLMs Understand Better,docs/AI/资源补充.md,生成式与多模态,docs/AI/AI应用/多模态技术.md,多模态
An Algorithm of Generalization in Positive Supercompilation,docs/CS/资源补充.md,数据库与编译,docs/CS/系统原理/编译原理.md,资料收集
io_uring for High-Performance DBMSs: When and How to Use It,docs/CS/资源补充.md,系统与体系结构,docs/CS/系统原理/操作系统.md,SJTU-IPADS
Intel® Manual Chapter 2 | Intel手册第二章中文翻译：系统架构概览,docs/CS/资源补充.md,系统与体系结构,docs/CS/系统原理/体系结构.md,CSAPP
Intel® Manual Chapter 7 | Intel手册第七章中文翻译：中断和异常处理,docs/CS/资源补充.md,系统与体系结构,docs/CS/系统原理/操作系统.md,SJTU-IPADS
尝试阐释CPU工作原理 - zileizi,docs/CS/资源补充.md,系统与体系结构,docs/CS/系统原理/体系结构.md,CSAPP
2025年操作系统设计与实现研讨会（OSDI）有哪些值得关注的文章？,docs/CS/资源补充.md,系统与体系结构,docs/CS/系统原理/操作系统.md,SJTU-IPADS
从共识算法开谈 - 硬盘性能的最大几个误解,docs/CS/资源补充.md,系统与体系结构,docs/CS/系统原理/分布式.md,Mit6.5840
自己学习Blelloch Scan的实现的笔记，感觉这个算法理解起来比较反直觉，但是很精巧，是很多并行算法的Building Block,docs/CS/资源补充.md,编程与算法,docs/CS/编程/算法.md,算法
算法八股文常见问题,docs/CS/资源补充.md,编程与算法,docs/CS/编程/算法.md,算法
算法岗手撕代码,docs/CS/资源补充.md,编程与算法,docs/CS/编程/算法.md,算法
函数式编程,docs/CS/资源补充.md,编程与算法,docs/CS/编程/编程.md,C++
函数式编程入门教程,docs/CS/资源补充.md,编程与算法,docs/CS/编程/编程.md,C++
Rust训练营-一阶段笔记,docs/CS/资源补充.md,编程与算法,docs/CS/编程/编程.md,C++
清华的计算机系科协在搞暑期培训,docs/CS/资源补充.md,编程与算法,docs/CS/编程/编程.md,C++
如何看待Anthropic用纯AI实现的CCC编译器可编译Linux? - 圆角骑士魔理沙的回答 - 知乎,docs/CS/资源补充.md,编程与算法,docs/CS/系统原理/编译原理.md,资料收集
世界上有哪些代码量很少，但很牛逼很经典的算法或项目案例？,docs/CS/资源补充.md,编程与算法,docs/CS/编程/算法.md,算法
c++ STL为什么不提供双向vector？,docs/CS/资源补充.md,编程与算法,docs/CS/编程/编程.md,C++
2025年了 Rust前景如何?,docs/CS/资源补充.md,编程与算法,docs/CS/编程/编程.md,C++
关于Rust的一点小故事,docs/CS/资源补充.md,编程与算法,docs/CS/编程/编程.md,C++
针对js的优化方法做一个生成的js适合优化的new typescript,docs/CS/资源补充.md,编程与算法,docs/CS/编程/编程.md,C++
可以在编译器自动实现并行化解释/编译吗？ - 圆角骑士魔理沙的回答,docs/CS/资源补充.md,编程与算法,docs/CS/系统原理/编译原理.md,资料收集
在考虑到 GC 的 STW 情况下，C# 是否依旧能比手动管理内存（C++/Rust）快？,docs/CS/资源补充.md,编程与算法,docs/CS/编程/编程.md,C++
C语言并不是底层语言,docs/CS/资源补充.md,编程与算法,docs/CS/编程/编程.md,C++
课程推荐 Advanced Natural Language Processing,docs/CS/资源补充.md,网络与分布式,docs/AI/大语言模型/LLM原理.md,LLM
WSL2 的 2.0 更新彻底解决网络问题 - hez2010的文章 - 知乎,docs/CS/资源补充.md,网络与分布式,docs/CS/系统原理/计算机网络.md,计算机网络
Build your own Redis,docs/CS/资源补充.md,网络与分布式,docs/开发/项目.md,项目
IPADS两篇论文入选VLDB 2025：构建面向分布式架构应用的多数据库事务系统; 查询重写引擎落地华为GaussDB,docs/CS/资源补充.md,网络与分布式,docs/CS/系统原理/分布式.md,Mit6.5840
AI Native ：重塑从 0 到 1 的生产力法则与实战复盘,docs/CS/资源补充.md,网络与分布式,docs/AI/AI工程与系统.md,AI 工程与系统
为客户端应用(Web/Native)构建低成本、高扩展性的聚合登录架构(完整实现 + 官方文档),docs/CS/资源补充.md,网络与分布式,docs/开发/前后端.md,后端
介绍NAT穿透原理的文章,docs/CS/资源补充.md,网络与分布式,docs/CS/系统原理/计算机网络.md,计算机网络
通俗地讲，Netty 能做什么?,docs/CS/资源补充.md,网络与分布式,docs/CS/系统原理/计算机网络.md,计算机网络
工资计算器,docs/学习成长/成长与职业/资源补充.md,职业发展,docs/学习成长/职业发展/工作就业.md,工作就业
"如果cs phd的工作是学界的自嗨，这类phd在业界没有对口,那他们的5年工作真的有意义吗？ - 圆角骑士魔理沙的回答 - 知乎",docs/学习成长/成长与职业/资源补充.md,职业发展,docs/学习成长/职业发展/工作就业.md,工作就业
程序员为啥突然会变成这么辣鸡的一个行业？,docs/学习成长/成长与职业/资源补充.md,职业发展,docs/学习成长/职业发展/工作就业.md,工作就业
英语学习网站,docs/学习成长/资源补充.md,课程与学习资源,docs/学习成长/学习资源.md,学习记录
OSS 直传：如何构建一套安全高效的文件上传/访问方案,docs/开发/资源补充.md,Web与后端,docs/开发/前后端.md,后端
常用设计模式汇总,docs/开发/资源补充.md,Web与后端,docs/开发/前后端.md,后端
周一（划掉）周二更新，Linux 迟迟难产的持久化变更日志 API,docs/开发/资源补充.md,Web与后端,docs/CS/系统原理/操作系统.md,SJTU-IPADS
OSS 直传：如何构建一套安全高效的文件上传/访问方案,docs/开发/资源补充.md,Web与后端,docs/开发/前后端.md,后端
Nerf工作原理,docs/开发/资源补充.md,图形学与可视化,docs/开发/计算机图形学.md,图形学
How to build a BVH – Part 1: Basics,docs/开发/资源补充.md,图形学与可视化,docs/开发/计算机图形学.md,图形学
读AFL++的文档总结,docs/开发/资源补充.md,安全工程,docs/开发/安全工程.md,安全工程
Security Engineering 课程,docs/开发/资源补充.md,安全工程,docs/开发/安全工程.md,安全工程
安全运营之路,docs/开发/资源补充.md,安全工程,docs/开发/安全工程.md,安全工程
0g官方docs合约漏洞,docs/开发/资源补充.md,安全工程,docs/开发/安全工程.md,安全工程
Polymarket的套利bot为什么能work,docs/开发/资源补充.md,开源项目与工程实践,docs/开发/项目.md,项目
The Architecture of Open Source Applications,docs/开发/资源补充.md,开源项目与工程实践,docs/开发/项目.md,项目
从零开始学架构,docs/开发/资源补充.md,开源项目与工程实践,docs/开发/项目.md,项目
开发一个业务逻辑复杂的系统，应该怎么样设计才能使项目的扩展性更好？ - 圆角骑士魔理沙的回答,docs/开发/资源补充.md,开源项目与工程实践,docs/开发/项目.md,项目
